Day,Phase,Type,Topic,Activity,Resource,Completed,Grade
1,1 - Core Deep Dive,Learn,Request Lifecycle,Read Rails Guides on routing end-to-end. Trace a request from router to controller to view in a sample app.,Rails Guides - Routing,x,82
2,1 - Core Deep Dive,Learn,Request Lifecycle,Read ActionDispatch middleware stack source. Run `rake middleware` and understand each layer.,Rails source - actionpack/lib/action_dispatch,x,78
3,1 - Core Deep Dive,Learn,Active Record Internals,Read Rails Guides on Active Record fully. Focus on connection handling and query interface.,Rails Guides - Active Record Basics,x,75
4,1 - Core Deep Dive,Learn,Active Record Internals,Study Arel and how AR builds SQL. Run `to_sql` on complex queries. Practice joins vs includes vs eager_load vs preload.,Rails source - activerecord/lib/arel,x,80
5,1 - Core Deep Dive,Learn,Active Record Internals,Study AR callbacks lifecycle. Map out the full callback chain for create/update/destroy.,Rails Guides - Active Record Callbacks,x,83
6,1 - Core Deep Dive,Build,Project Setup,"Generate BillFlow app (no scaffold). Create Client model with: name, email, company, phone, notes. Write migration with indexes.",Self-directed,x,89
7,1 - Core Deep Dive,Build,Project Setup,"Create Project model: belongs_to Client, has name, description, hourly_rate, status (enum: active/archived/completed). Add foreign key constraints.",Self-directed,x,90
8,1 - Core Deep Dive,Build,Project Setup,"Create TimeEntry model: belongs_to Project, has description, started_at, ended_at, billable (boolean). Add validation for ended_at > started_at.",Self-directed,x,91
9,1 - Core Deep Dive,Learn,Migrations & Schema,Study strong_migrations gem. Understand why certain migrations are dangerous. Write complex migrations with conditional indexes.,strong_migrations GitHub README,x,86
10,1 - Core Deep Dive,Build,Project Models,"Create Invoice model: belongs_to Client, has number (auto-generated), status (draft/sent/paid/overdue), issued_on, due_on, notes. Create LineItem model: belongs_to Invoice, has description, quantity, unit_price.",Self-directed,x,87
11,1 - Core Deep Dive,Build,Project Models,"Add model validations and associations throughout. Implement Invoice#total, Invoice#generate_number, and TimeEntry#duration methods. Write scopes: Invoice.overdue, Project.active, TimeEntry.billable.",Self-directed,x,80
12,1 - Core Deep Dive,Learn,Action Controller,Read controller source. Understand filters/params/rendering/redirecting internals.,Rails source - actionpack/lib/action_controller,
13,1 - Core Deep Dive,Build,Project Controllers,Build ClientsController with full CRUD. No scaffolding. Strong params with nested attributes. Before actions for shared lookups.,Self-directed,
14,1 - Core Deep Dive,Build,Project Controllers,Build ProjectsController nested under clients. Build TimeEntriesController nested under projects. Handle the nested routing properly.,Self-directed,
15,1 - Core Deep Dive,Learn,Action View,Study partials/layouts/helpers. Understand the rendering pipeline. Build custom form builders.,Rails Guides - Layouts and Rendering,
16,1 - Core Deep Dive,Build,Project Views,"Build application layout with navigation. Create Client views: index (with project counts), show (with projects list), form partial with validations displayed.",Self-directed,
17,1 - Core Deep Dive,Build,Project Views,"Build Project views with time entry log. Build TimeEntry form that calculates duration. Create Invoice views: index with status badges, show with line items table and totals.",Self-directed,
18,1 - Core Deep Dive,Learn,Asset Pipeline,Study Propshaft vs Sprockets. Configure import maps or CSS bundling. Set up Tailwind CSS for the project.,Rails Guides - Asset Pipeline,
19,1 - Core Deep Dive,Build,Project UI,"Style BillFlow with Tailwind: professional layout, responsive sidebar nav, status badges, data tables. Make it look like a real product.",Tailwind docs,
20,1 - Core Deep Dive,Learn,Active Storage,Set up Active Storage. Understand direct uploads and variants.,Rails Guides - Active Storage,
21,1 - Core Deep Dive,Build,Project Files,"Add file attachments to Projects (contracts, briefs). Display attached files on project show page. Add avatar uploads to Clients.",Self-directed,
22,1 - Core Deep Dive,Learn,Action Mailer,Build transactional email system. Set up previews and test delivery.,Rails Guides - Action Mailer,
23,1 - Core Deep Dive,Build,Project Emails,Build InvoiceMailer: sends invoice to client with PDF attachment (plain HTML for now). Build ReminderMailer: sends overdue notice. Create mailer previews for both.,Self-directed,
24,1 - Core Deep Dive,Build,Project Feature,"Build invoice creation workflow: select a client, choose unbilled time entries, auto-generate line items from time entries, review and save as draft.",Self-directed,
25,1 - Core Deep Dive,Build,Consolidation,"Review and polish. Add seed file with realistic sample data (5 clients, 10 projects, 50 time entries, 8 invoices in various states). Verify all CRUD flows work end-to-end.",Self-directed,
26,2 - Testing,Learn,Minitest Basics,Read Rails testing guide fully. Understand test types and when to use each.,Rails Guides - Testing,
